משתנה,תאריך,חיפה בתי זיקוק                                    (600)
טמפרטורת מינימום ליד הקרקע(C°),13-09-2012,-
טמפרטורת מקסימום(C°),14-09-2012,31.8
טמפרטורת מינימום(C°),14-09-2012,23.8
טמפרטורת מינימום ליד הקרקע(C°),14-09-2012,-
טמפרטורת מקסימום(C°),15-09-2012,32.4
טמפרטורת מינימום(C°),15-09-2012,21.7
טמפרטורת מינימום ליד הקרקע(C°),15-09-2012,-
טמפרטורת מקסימום(C°),16-09-2012,32.0
טמפרטורת מינימום(C°),16-09-2012,21.5
טמפרטורת מינימום ליד הקרקע(C°),16-09-2012,-
טמפרטורת מקסימום(C°),17-09-2012,32.1
טמפרטורת מינימום(C°),17-09-2012,22.9
טמפרטורת מינימום ליד הקרקע(C°),17-09-2012,-
טמפרטורת מקסימום(C°),18-09-2012,33.3
טמפרטורת מינימום(C°),18-09-2012,21.1
טמפרטורת מינימום ליד הקרקע(C°),18-09-2012,-
טמפרטורת מקסימום(C°),19-09-2012,32.6
טמפרטורת מינימום(C°),19-09-2012,22.4
טמפרטורת מינימום ליד הקרקע(C°),19-09-2012,-
טמפרטורת מקסימום(C°),20-09-2012,32.0
טמפרטורת מינימום(C°),20-09-2012,23.4
טמפרטורת מינימום ליד הקרקע(C°),20-09-2012,-
טמפרטורת מקסימום(C°),21-09-2012,31.7
טמפרטורת מינימום(C°),21-09-2012,21.6
טמפרטורת מינימום ליד הקרקע(C°),21-09-2012,-
טמפרטורת מקסימום(C°),22-09-2012,33.0
טמפרטורת מינימום(C°),22-09-2012,21.4
טמפרטורת מינימום ליד הקרקע(C°),22-09-2012,-
טמפרטורת מקסימום(C°),23-09-2012,31.4
טמפרטורת מינימום(C°),23-09-2012,21.6
טמפרטורת מינימום ליד הקרקע(C°),23-09-2012,-
טמפרטורת מקסימום(C°),24-09-2012,30.5
טמפרטורת מינימום(C°),24-09-2012,20.0
טמפרטורת מינימום ליד הקרקע(C°),24-09-2012,-
טמפרטורת מקסימום(C°),25-09-2012,31.3
טמפרטורת מינימום(C°),25-09-2012,18.8
טמפרטורת מינימום ליד הקרקע(C°),25-09-2012,-
טמפרטורת מקסימום(C°),26-09-2012,32.0
טמפרטורת מינימום(C°),26-09-2012,20.3
טמפרטורת מינימום ליד הקרקע(C°),26-09-2012,-
טמפרטורת מקסימום(C°),27-09-2012,32.5
טמפרטורת מינימום(C°),27-09-2012,19.4
טמפרטורת מינימום ליד הקרקע(C°),27-09-2012,-
טמפרטורת מקסימום(C°),28-09-2012,31.8
טמפרטורת מינימום(C°),28-09-2012,22.2
טמפרטורת מינימום ליד הקרקע(C°),28-09-2012,-
טמפרטורת מקסימום(C°),29-09-2012,31.4
טמפרטורת מינימום(C°),29-09-2012,23.9
טמפרטורת מינימום ליד הקרקע(C°),29-09-2012,-
טמפרטורת מקסימום(C°),30-09-2012,30.9
טמפרטורת מינימום(C°),30-09-2012,25.4
טמפרטורת מינימום ליד הקרקע(C°),30-09-2012,-
טמפרטורת מקסימום(C°),01-10-2012,31.3
טמפרטורת מינימום(C°),01-10-2012,26.2
טמפרטורת מינימום ליד הקרקע(C°),01-10-2012,-
טמפרטורת מקסימום(C°),02-10-2012,35.4
טמפרטורת מינימום(C°),02-10-2012,23.8
טמפרטורת מינימום ליד הקרקע(C°),02-10-2012,-
טמפרטורת מקסימום(C°),03-10-2012,31.3
טמפרטורת מינימום(C°),03-10-2012,23.2
טמפרטורת מינימום ליד הקרקע(C°),03-10-2012,-
טמפרטורת מקסימום(C°),04-10-2012,32.1
טמפרטורת מינימום(C°),04-10-2012,22.3
טמפרטורת מינימום ליד הקרקע(C°),04-10-2012,-
טמפרטורת מקסימום(C°),05-10-2012,31.8
טמפרטורת מינימום(C°),05-10-2012,21.6
טמפרטורת מינימום ליד הקרקע(C°),05-10-2012,-
טמפרטורת מקסימום(C°),06-10-2012,30.3
טמפרטורת מינימום(C°),06-10-2012,20.5
טמפרטורת מינימום ליד הקרקע(C°),06-10-2012,-
טמפרטורת מקסימום(C°),07-10-2012,31.1
טמפרטורת מינימום(C°),07-10-2012,19.4
טמפרטורת מינימום ליד הקרקע(C°),07-10-2012,-
טמפרטורת מקסימום(C°),08-10-2012,30.7
טמפרטורת מינימום(C°),08-10-2012,20.4
טמפרטורת מינימום ליד הקרקע(C°),08-10-2012,-
טמפרטורת מקסימום(C°),09-10-2012,30.5
טמפרטורת מינימום(C°),09-10-2012,19.1
טמפרטורת מינימום ליד הקרקע(C°),09-10-2012,-
טמפרטורת מקסימום(C°),10-10-2012,30.3
טמפרטורת מינימום(C°),10-10-2012,19.2
טמפרטורת מינימום ליד הקרקע(C°),10-10-2012,-
טמפרטורת מקסימום(C°),11-10-2012,31.8
טמפרטורת מינימום(C°),11-10-2012,20.2
טמפרטורת מינימום ליד הקרקע(C°),11-10-2012,-
טמפרטורת מקסימום(C°),12-10-2012,29.7
טמפרטורת מינימום(C°),12-10-2012,21.5
טמפרטורת מינימום ליד הקרקע(C°),12-10-2012,-
טמפרטורת מקסימום(C°),13-10-2012,29.8
טמפרטורת מינימום(C°),13-10-2012,18.0
טמפרטורת מינימום ליד הקרקע(C°),13-10-2012,-
טמפרטורת מקסימום(C°),14-10-2012,30.0
טמפרטורת מינימום(C°),14-10-2012,19.7
טמפרטורת מינימום ליד הקרקע(C°),14-10-2012,-
טמפרטורת מקסימום(C°),15-10-2012,29.8
טמפרטורת מינימום(C°),15-10-2012,18.5
טמפרטורת מינימום ליד הקרקע(C°),15-10-2012,-
טמפרטורת מקסימום(C°),16-10-2012,30.1
טמפרטורת מינימום(C°),16-10-2012,19.9
טמפרטורת מינימום ליד הקרקע(C°),16-10-2012,-
טמפרטורת מקסימום(C°),17-10-2012,30.3
טמפרטורת מינימום(C°),17-10-2012,18.3
טמפרטורת מינימום ליד הקרקע(C°),17-10-2012,-
טמפרטורת מקסימום(C°),18-10-2012,30.9
טמפרטורת מינימום(C°),18-10-2012,20.7
טמפרטורת מינימום ליד הקרקע(C°),18-10-2012,-
טמפרטורת מקסימום(C°),19-10-2012,30.0
טמפרטורת מינימום(C°),19-10-2012,19.1
טמפרטורת מינימום ליד הקרקע(C°),19-10-2012,-
טמפרטורת מקסימום(C°),20-10-2012,32.5
טמפרטורת מינימום(C°),20-10-2012,19.3
טמפרטורת מינימום ליד הקרקע(C°),20-10-2012,-
טמפרטורת מקסימום(C°),21-10-2012,31.8
טמפרטורת מינימום(C°),21-10-2012,19.3
טמפרטורת מינימום ליד הקרקע(C°),21-10-2012,-
טמפרטורת מקסימום(C°),22-10-2012,32.0
טמפרטורת מינימום(C°),22-10-2012,21.4
טמפרטורת מינימום ליד הקרקע(C°),22-10-2012,-
